,path,blue,green,red
0,img/natural1.jpg,191.94051020408162,182.9870918367347,172.09336734693878
1,img/natural2.jpg,193.55913265306123,186.03576530612244,168.15367346938777
2,img/natural3.jpg,208.4736224489796,218.32734693877552,226.3062244897959
3,img/natural4.jpg,227.5982508224344,225.69140656342773,221.29350878600658
4,img/natural5.jpg,142.4351851851852,164.9878086419753,187.23302469135803
5,img/natural6.jpg,157.64130823001173,182.4906883004235,208.93412929231084
6,img/natural7.jpg,226.73862781954887,227.725,226.54445488721805
7,img/natural8.jpg,195.64905294327872,186.07459028947773,186.65625159544595
8,img/natural9.jpg,204.05535714285713,205.14678571428573,208.184693877551
9,img/natural10.jpg,189.3554081632653,196.74755102040817,199.05397959183674
