,path,blue,green,red
0,img/smart1.jpg,239.4894387755102,238.81066326530612,231.82515306122448
1,img/smart2.jpg,239.1791836734694,239.51591836734693,238.85933673469387
2,img/smart3.jpg,223.87390381895332,226.57779349363508,222.4937765205092
3,img/smart4.jpg,190.56946778711486,193.23767507002802,205.84047619047618
4,img/smart5.jpg,202.95427170868348,208.38158263305323,217.6530112044818
5,img/smart6.jpg,220.81060064354665,219.58053271362175,220.77440114408296
6,img/smart7.jpg,136.50674603174602,209.9375,137.2078373015873
7,img/smart8.jpg,205.19534004394256,202.19702621225284,208.3528179449185
8,img/smart9.jpg,168.35970340066478,164.76021477882895,172.0124264893889
9,img/smart10.jpg,112.70926042441229,121.88068409311903,121.25664931647887
